FID_Alabam,MatchType,NumMatch,PrecinctNu,Precinct,Address,City,Zip,County,State,FLD_ZONE,ZONE_SUBTY,polling_place_id,longitude,latitude
662,ExactMatch,Exact,,Johnson Crossing Vol Fire Dept,1544 Co Rd 617,Hanceville,35077,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0755,-86.76986161999999,34.09542322999998
641,ExactMatch,Rooftop,,Welti Mt Zion Church,8394 County Road 747,Cullman,35055,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0756,-86.74563598999998,34.143413540000026
650,KnownAlternateName,Exact,,Cullman County Health Dept,601 Logan Avenue,Cullman,35055,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0757,-86.8655,34.170300000000005
649,ExactMatch,Rooftop,,Cullman Civic Center 1-1,501 5th St SW,Cullman,35055,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0758,-86.84622192,34.17165375000001
657,ExactMatch,Approx,,Garden City Town Hall,501 1st Ave SW,Garden City,35070,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0759,-86.84090000000003,34.172300000000014
647,ExactMatch,Rooftop,,Courthouse Conference Rooms,500 2nd Ave SW,Cullman,35055,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0760,-86.84163665999996,34.172496799999955
1097,KnownAlternateName,Exact,16,Nesmith Comm Center,34727 Hwy 278,Addison,35540,Winston,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0761,-87.11848770999998,34.17639181
642,ExactMatch,Rooftop,,West Point Community Center,3990 County Road 1141,Cullman,35057,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0762,-86.95761871000003,34.24054718000004
663,ExactMatch,Rooftop,,West Point Community Center,3990 County Road 1141,Cullman,35057,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0763,-86.95761871000003,34.24054718000004
956,ExactMatch,Approx,19-1,Danville Volunteer Fire Station,1200 N Johnson Chapel Rd,Hartselle,0,Morgan,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0764,-87.08249999999995,34.42559999999998
648,ExactMatch,Exact,,Cullman City Hall,201 2nd Ave NE,Cullman,35055,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0765,-86.84270000000001,34.17940000000003
644,DirectionSuffixRemoved,Exact,,Berlin Community Center,3309 AL Hwy 278 East,Cullman,35058,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0766,-86.74830304000004,34.179478500000045
651,ExactMatch,Exact,,Cullman County Office Building Basement,402 Arnold St NE,Cullman,35055,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0767,-86.84054421999998,34.18121859000004
664,ExactMatch,Exact,,Kelley Community Center,1270 Co Rd 1435,Vinemont,35179,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0768,-86.8293,34.22127172
665,DirectionSuffixRemoved,Exact,,Simcoe Community Center,4235 AL Hwy 69 North,Cullman,35058,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0769,-86.73855898000001,34.223695780000014
639,ExactMatch,Exact,,Vinemont Community Center,88 Ridgeway St,Cullman,35057,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0770,-86.86386999999996,34.2383
640,ExactMatch,Approx,,Vinemont Town Hall,36 Patton Drive,Vinemont,35179,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0771,-86.86690000000002,34.24290000000003
954,ExactMatch,Exact,15-2,First Baptist Church of Hartselle,210 Woodland St NW,Hartselle,0,Morgan,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0772,-86.93700467999999,34.44769999999996
